      # name ref Mv logRe logM* logSigma_e
         89  6  -9.9  0.671  6.201  4.062
         90  6 -10.1  0.402  6.362  4.760
         91  6 -11.0  1.037  6.636  3.764
         92  6  -9.3  0.489  5.986  4.210
         93  6 -11.7  0.742  7.145  4.862
         95  6 -10.5  1.298  6.487  3.092
         96  6 -10.5  0.632  6.435  4.373
         99  6  -9.0  0.640  5.795  3.717
        100  6 -11.1  0.809  6.706  4.289
    FORNAX1  7  -5.4  1.094  4.400  1.410
    FORNAX2  7  -7.1  0.859  5.070  2.550
    FORNAX3  7  -8.0  0.629  5.400  3.350
    FORNAX4  7  -7.5  0.493  5.180  3.390
    FORNAX5  7  -7.2  0.667  5.100  2.970
LMC-HODGE11  7  -7.4  0.843  5.170  2.690
LMC-HODGE14  7  -5.8  0.737  4.000  1.730
 LMC-HODGE4  7  -8.7  2.026  5.310  0.460
LMC-NGC1466  7  -7.6  0.652  5.240  3.130
LMC-NGC1651  7  -6.9  1.000  4.530  1.730
LMC-NGC1711  7  -8.8  0.715  4.240  2.010
LMC-NGC1718  7  -7.0  0.741  4.570  2.290
LMC-NGC1754  7  -7.1  0.434  5.070  3.410
LMC-NGC1777  7  -7.0  0.874  4.280  1.740
LMC-NGC1786  7  -8.4  0.530  5.570  3.710
LMC-NGC1805  7  -8.4  0.442  3.670  1.990
LMC-NGC1818  7  -9.6  0.732  4.420  2.160
LMC-NGC1831  7  -8.4  0.915  4.590  1.960
LMC-NGC1835  7  -8.7  0.346  5.710  4.220
LMC-NGC1841  7  -7.8  0.994  5.310  2.530
LMC-NGC1847  7  -9.7  1.513  4.440  0.610
LMC-NGC1850  7 -10.5  1.051  4.860  1.960
LMC-NGC1856  7  -9.9  0.890  4.880  2.300
LMC-NGC1860  7  -8.3  1.045  4.330  1.440
LMC-NGC1866  7 -10.0  1.018  4.910  2.080
LMC-NGC1868  7  -7.6  0.521  4.330  2.490
LMC-NGC1898  7  -7.8  0.796  5.350  2.960
LMC-NGC1916  7  -8.9  0.292  5.770  4.390
LMC-NGC1984  7  -8.7  0.501  3.820  2.020
LMC-NGC2004  7  -9.6  0.722  4.360  2.120
LMC-NGC2005  7  -7.6  0.322  5.270  3.830
LMC-NGC2011  7  -8.9  0.880  3.800  1.250
LMC-NGC2019  7  -8.2  0.373  5.470  3.930
LMC-NGC2031  7  -8.8  0.944  4.480  1.800
LMC-NGC2100  7  -9.7  0.644  4.360  2.270
LMC-NGC2121  7  -7.8  1.041  5.000  2.120
LMC-NGC2136  7  -8.6  0.534  4.300  2.440
LMC-NGC2153  7  -5.5  0.370  3.640  2.110
LMC-NGC2155  7  -6.7  0.819  4.560  2.120
LMC-NGC2156  7  -7.4  0.568  3.650  1.710
LMC-NGC2157  7  -9.1  0.732  4.310  2.050
LMC-NGC2159  7  -7.9  0.688  3.860  1.690
LMC-NGC2162  7  -6.2  0.715  4.020  1.800
LMC-NGC2164  7  -8.6  0.678  4.180  2.020
LMC-NGC2172  7  -7.3  0.740  3.610  1.340
LMC-NGC2173  7  -7.2  0.921  4.700  2.060
LMC-NGC2193  7  -5.9  0.630  4.130  2.070
LMC-NGC2209  7  -7.2  1.313  4.360  0.930
LMC-NGC2210  7  -8.0  0.524  5.400  3.560
LMC-NGC2213  7  -6.4  0.598  4.300  2.310
LMC-NGC2214  7  -8.4  0.910  4.030  1.410
LMC-NGC2231  7  -6.9  0.891  4.360  1.780
LMC-NGC2249  7  -6.7  0.553  4.030  2.120
LMC-NGC2257  7  -7.0  1.008  5.000  2.190
